Application,Timestamp,Description,Flat UI,Speed vs Accuracy,Avg. num selectables in view,Max num selectables in view,Unique target,Selectable size,Target distance,Static or moving target,Arrangement,Reference Frame,Direction,Occlusion,Selection Technique,Hover feedback,Feedback immediacy,Locomotion allowed,X,Y,color
Blade & Sorcery,https://youtu.be/00pBMc87Ilg?t=39,1.Grasp weapons within reach. Nearest weapon is highlighed if reachable.,3D,equal,1-2,3-9,yes,medium,Peripersonal,static,random,Environment,both,minimal,Point,yes,yes,yes,-6.89849,30.070375,Red
Blade & Sorcery,https://youtu.be/00pBMc87Ilg?t=60,2.Grasp of enemy joints to drag them around/away,3D,speed,3-9,10-19,no,medium,Peripersonal,moving,random,Environment,center,minimal,Grasp,no,yes,yes,-12.308783,-16.74953,Green
Blade & Sorcery,https://youtu.be/HL6kH0WpuFA?t=19,3. Select entry in a book using raycast out of finger,2D,accuracy,10-19,20+,yes,tiny,Peripersonal,static,list,Environment,center,none,Point,yes,yes,yes,3.7023706,18.48402,Red
Blade & Sorcery,https://youtu.be/0M6PBhrt1pA?t=9,4. Select icon from a circular menu around the hand,2D,equal,10-19,20+,yes,medium,On-body,static,circular,Torso,center,none,Release-to-select,yes,no,no,17.169119,-29.02004,Blue
Blade & Sorcery,https://youtu.be/0M6PBhrt1pA?t=150,5. Target an enemy with a lightning (pointing with auto aim - selection correction),3D,speed,1-2,3-9,no,large,Extrapersonal,moving,random,Environment,both,minimal,Point,no,yes,yes,-4.544513,35.520767,Red
Blade & Sorcery,https://youtu.be/vj2RK3QM6a0?t=2,6. Aim and shoot an arrow with a bow,3D,accuracy,3-9,3-9,no,large,Extrapersonal,moving,random,Environment,center,minimal,Shoot,no,yes,yes,14.750048,-7.0614405,Gold
Blade & Sorcery,https://youtu.be/ZJUznuZDEXs?t=57,7. Throw a javelin at enemies,3D,accuracy,3-9,3-9,no,large,Extrapersonal,moving,random,Environment,center,minimal,Throw,no,yes,yes,36.20481,16.63885,DeepSkyBlue
Beat Saber,https://youtu.be/6yqFoHG0Og8?t=220,"1. Selecting songs, friends, and such from menu UI before the game starts",2D,accuracy,10-19,10-19,yes,small,Extrapersonal,static,grid,Environment,center,none,Point,yes,yes,no,7.6688895,10.677911,Red
Beat Saber,https://youtu.be/6yqFoHG0Og8?t=308,2. Slicing cubes in game,3D,equal,3-9,3-9,yes,large,Peripersonal,moving,random,Environment,center,minimal,Cross,no,yes,no,-39.449013,-8.71671,Chocolate
Creed: Rise to Glory - Championship Edition,https://youtu.be/K4XzyI1Yap4?t=238,"1. Selecting champions, game modes and so on from a UI",2D,accuracy,3-9,10-19,yes,small,Extrapersonal,static,list,Environment,center,none,Point,yes,yes,yes,8.990456,14.705047,Red
Survival Nation,https://youtu.be/vhBTLJwOsUw?t=44,1. Selecting Weapons/Items From an on hand Inventory ,2D,equal,3-9,3-9,yes,large,On-body,static,circular,Torso,center,none,Point,yes,yes,no,6.5741663,33.925674,Red
Survival Nation,https://youtu.be/vhBTLJwOsUw?t=168,2. UI to pick a location/shop/build item (pannel was  a 2D screen like) and you select with a ray,2D,accuracy,20+,20+,yes,small,Extrapersonal,static,grid,Environment,center,none,Point,yes,yes,no,8.561469,12.058849,Red
Survival Nation,https://youtu.be/vhBTLJwOsUw?t=64,3. Select items from teh floor to add them to inventory from the floor,3D,accuracy,1-2,3-9,yes,medium,Extrapersonal,static,random,Environment,center,minimal,Point,yes,yes,yes,-5.8079,34.40714,Red
Survival Nation,https://youtu.be/vhBTLJwOsUw?t=30,4. Aim at targets with a bow and shoot,3D,equal,3-9,10-19,no,large,Extrapersonal,moving,random,Environment,center,minimal,Shoot,no,yes,yes,15.773116,-7.825513,Gold
Survival Nation,https://youtu.be/vhBTLJwOsUw?t=46,5. throw an object into an area or a target,3D,accuracy,1-2,1-2,no,large,Extrapersonal,static,random,Environment,center,minimal,Throw,no,no,yes,34.06702,14.868713,DeepSkyBlue
Survival Nation,https://youtu.be/vhBTLJwOsUw?t=76,6. Select a point/surface to hold onto to climb/move,3D,accuracy,3-9,3-9,yes,medium,Peripersonal,static,random,Environment,both,minimal,Grasp,no,yes,yes,-8.51316,-16.214968,Green
Survival Nation,https://youtu.be/vhBTLJwOsUw?t=182,7. Select a button press to start a process ,3D,accuracy,1-2,3-9,yes,small,Peripersonal,static,grid,Environment,center,none,Press Virtual Button,no,yes,yes,3.914385,-36.92844,LimeGreen
Survival Nation,https://youtu.be/vhBTLJwOsUw?t=325,8. Select an enemy/target to attack for example with a bat,3D,equal,3-9,10-19,no,large,Peripersonal,moving,random,Environment,center,minimal,Cross,no,yes,yes,-38.90739,-8.5713005,Chocolate
Job Simulator,https://youtu.be/e0Yyp2OMZqo?t=943,"1. Grasp closeby objects (i.e. bottles, game cards, donuts, etc.)",3D,accuracy,10-19,20+,no,small,Peripersonal,static,random,Environment,both,minimal,Grasp,yes,yes,yes,-17.79949,-15.855201,Green
