Application,Timestamp,Description,Dimensions,Reference Frame,Proximity,Target Type,Interactor,Indication,Confirmation,Outcome
Blade & Sorcery,https://youtu.be/HL6kH0WpuFA?t=19,3. Select entry in a book using raycast,2D,Environment,Peripersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Blade & Sorcery,https://youtu.be/0M6PBhrt1pA?t=9,4. Select icon from a circular menu around the hand,2D,Torso,On-Body,UI Element,Virtual hand,Intersecting,Analog - Release,System control
Blade & Sorcery,https://youtu.be/vj2RK3QM6a0?t=2,6. Aim and shoot an arrow with a bow,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Release,System control
Blade & Sorcery,https://youtu.be/ZJUznuZDEXs?t=57,7. Throw a javelin at enemies,3D,Environment,Extrapersonal,Avatar,Handheld object,Aiming - Throwing,Analog - Release,System control
Blade & Sorcery,https://youtu.be/-Fw4dPwZu9g?si=uZ4rmaDkXuCLPjny&t=47,8. Slice enemies with weapons,3D,Environment,Peripersonal,Avatar,Handheld object,Intersecting,Automatic,System control
Beat Saber,https://youtu.be/6yqFoHG0Og8?t=220,"1. Selecting songs, friends, and such from menu UI before the game starts",2D,Environment,Extrapersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Beat Saber,https://youtu.be/6yqFoHG0Og8?t=308,2. Slicing cubes in game,3D,Environment,Peripersonal,3D Object,Handheld object,Intersecting,Automatic,System control
Creed: Rise to Glory - Championship Edition,https://youtu.be/K4XzyI1Yap4?t=238,"1. Selecting champions, game modes and so on from a UI",2D,Environment,Peripersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Creed: Rise to Glory - Championship Edition,https://youtu.be/K4XzyI1Yap4?si=QRrz14EFx8-vrVy2&t=231,2. Touch/punch a marked spot (enemy body parts),3D,Environment,Peripersonal,Avatar,Virtual hand,Intersecting,Automatic,System control
Survival Nation,https://youtu.be/vhBTLJwOsUw?t=44,1. Point to an on-torso spawned inventory UI to select weapons,2D,Torso,On-Body,UI Element,Ray - 2D Cursor,Pointing - Hand ray,Analog - Click,Acquisition
Survival Nation,https://youtu.be/lHiwIir_0gs?si=OiWMELhxn8sU6QDa&t=11,2. Flat UI with ray pointing,2D,Environment,Peripersonal,UI Element,Ray - Visible,Pointing - Hand ray,Analog - Click,System control
Survival Nation,https://youtu.be/vhBTLJwOsUw?t=30,4. Aim at targets with a bow and shoot,3D,Environment,Extrapersonal,Avatar,Ray - Invisible,Aiming - Shooting,Analog - Release,System control
