app,date,platform,link,scenario,ui,speed,num,max_num,unique,shape,size,distance,static,arrangement,rf,direction,occlusion,is_mechanic,selection_technique,hover,feedback,locomotion,X,Y,color
Blade & Sorcery,Dec 2018,Steam; Oculus,https://youtu.be/00pBMc87Ilg?t=39,1.Grasp weapons within reach. Nearest weapon is highlighed if reachable.,no,equal,1-2,3-9,yes,weapons,medium,peripersonal,static,random,env,both,minimal,yes,point,yes,yes,yes,1.3046354,10.146074,orange
Blade & Sorcery,Dec 2018,Steam; Oculus,https://youtu.be/00pBMc87Ilg?t=60,2.Grasp of enemy joints to drag them around/away,no,speed,3-9,10-19,no,body joint,medium,peripersonal,moving,random,env,center,minimal,yes,grasp,no,yes,yes,9.5798645,-38.457214,cyan
Blade & Sorcery,Dec 2018,Steam; Oculus,https://youtu.be/HL6kH0WpuFA?t=19,3. Select entry in a book using raycast out of finger,yes,accuracy,10-19,20+,yes,text,tiny,peripersonal,static,list,env,center,none,no,point,yes,yes,yes,9.2631645,-6.2537374,purple
Blade & Sorcery,Dec 2018,Steam; Oculus,https://youtu.be/0M6PBhrt1pA?t=9,4. Select icon from a circular menu around the hand,yes,equal,10-19,20+,yes,icons,medium,peripersonal,static,circular,env,center,none,yes,touch,yes,no,no,-3.9141333,49.71835,yellow
Blade & Sorcery,Dec 2018,Steam; Oculus,https://youtu.be/0M6PBhrt1pA?t=150,5. Target an enemy with a lightning (pointing with auto aim - selection correction),no,speed,1-2,3-9,no,avatar,large,extrapersonal,moving,random,env,both,minimal,yes,point,no,yes,yes,4.2461762,15.902491,brown
Blade & Sorcery,Dec 2018,Steam; Oculus,https://youtu.be/vj2RK3QM6a0?t=2,6. Aim and shoot an arrow with a bow,no,accuracy,3-9,3-9,no,avatar,large,extrapersonal,moving,random,env,center,minimal,yes,shoot,no,yes,yes,36.20153,11.403094,brown
Blade & Sorcery,Dec 2018,Steam; Oculus,https://youtu.be/ZJUznuZDEXs?t=57,7. Throw a javelin at enemies,no,accuracy,3-9,3-9,no,avatar,large,extrapersonal,moving,random,env,center,minimal,yes,throw,no,yes,yes,36.6289,12.111175,brown
Beat Saber,May 2018,PSVR; Steam; Oculus,https://youtu.be/6yqFoHG0Og8?t=220,"1. Selecting songs, friends, and such from menu UI before the game starts",yes,accuracy,10-19,10-19,yes,text; icons,small,extrapersonal,static,grid,env,center,none,no,point,yes,yes,no,16.735327,2.627569,purple
Beat Saber,May 2018,PSVR; Steam; Oculus,https://youtu.be/6yqFoHG0Og8?t=308,2. Slicing cubes in game,no,equal,3-9,3-9,yes,cubes,large,peripersonal,moving,random,env,center,minimal,yes,cross,no,yes,no,16.44818,-37.419132,cyan
Creed: Rise to Glory - Championship Edition,May 2019,Oculus; PSVR,https://youtu.be/K4XzyI1Yap4?t=238,"1. Selecting champions, game modes and so on from a UI",yes,accuracy,3-9,10-19,yes,icons,small,peripersonal,static,list,env,center,none,no,point,yes,yes,yes,14.943416,-9.867966,green
Creed: Rise to Glory - Championship Edition,May 2019,Oculus; PSVR,https://youtu.be/K4XzyI1Yap4?t=216,2. Selecting a target to land the punch,no,accuracy,1-2,1-2,no,avatar,medium,peripersonal,moving,random,env,both,none,no,push,yes,yes,yes,-25.429754,10.684121,pink
Survival Nation,Feb 2023,Oculus; Steam,https://youtu.be/vhBTLJwOsUw?t=44,1. Selecting Weapons/Items From an on hand Inventory ,yes,equal,3-9,3-9,yes,icons,large,on-body,static,circular,hand,center,none,no,point,yes,yes,no,26.293198,-7.4697533,green
Survival Nation,Feb 2023,Oculus; Steam,https://youtu.be/vhBTLJwOsUw?t=168,2. UI to pick a location/shop/build item (pannel was  a 2D screen like) and you select with a ray,yes,accuracy,20+,20+,yes,text; icons,small,peripersonal,static,grid,env,center,none,no,point,yes,yes,no,12.840797,-7.3624725,purple
Survival Nation,Feb 2023,Oculus; Steam,https://youtu.be/vhBTLJwOsUw?t=64,3. Select items from teh floor to add them to inventory from the floor,no,accuracy,1-2,3-9,yes,weapons,medium,peripersonal,static,random,env,center,minimal,no,grasp,yes,yes,yes,-10.553714,-27.0003,orange
Survival Nation,Feb 2023,Oculus; Steam,https://youtu.be/vhBTLJwOsUw?t=30,4. Aim at targets with a bow and shoot,no,equal,3-9,10-19,no,avatar,large,extrapersonal,moving,random,env,center,minimal,no,shoot,no,yes,yes,37.194447,8.257229,brown
Survival Nation,Feb 2023,Oculus; Steam,https://youtu.be/vhBTLJwOsUw?t=46,5. throw an object into an area or a target,no,accuracy,1-2,1-2,no,avatar,large,extrapersonal,static,random,env,center,minimal,yes,throw,no,no,yes,-15.223312,33.106937,red
Survival Nation,Feb 2023,Oculus; Steam,https://youtu.be/vhBTLJwOsUw?t=76,6. Select a point/surface to hold onto to climb/move,no,accuracy,3-9,3-9,yes,plank,medium,peripersonal,static,random,env,both,minimal,yes,grasp,no,yes,yes,14.687516,-33.029186,cyan
Survival Nation,Feb 2023,Oculus; Steam,https://youtu.be/vhBTLJwOsUw?t=182,7. Select a button press to start a process ,no,accuracy,1-2,3-9,yes,button,small,peripersonal,static,grid,env,center,none,yes,push,no,yes,yes,7.2468143,-1.1539521,purple
Survival Nation,Feb 2023,Oculus; Steam,https://youtu.be/vhBTLJwOsUw?t=325,8. Select an enemy/target to attack for example with a bat,no,equal,3-9,10-19,no,avatar,large,peripersonal,moving,random,env,center,minimal,yes,cross,no,yes,yes,10.186379,-38.458523,cyan
yes,April 2016,Steam; Oculus; PSVR,https://youtu.be/e0Yyp2OMZqo?t=943,"1. Grasp closeby objects (i.e. bottles, game cards, donuts, etc.)",no,accuracy,10-19,20+,no,"food, vegetables, utensils, etc.",small,peripersonal,static,random,env,both,minimal,no,grasp,yes,yes,yes,-7.606377,-29.988178,orange
Job Simulator,April 2016,Steam; Oculus; PSVR,https://youtu.be/e0Yyp2OMZqo?t=449,"2. Manipulate a slider, tilt/press a 3D button; grab a grip; silde a mechanical frame to select options",no,accuracy,10-19,20+,no,"car items:tools, machines, and decor",small,peripersonal,static,grid,env,both,minimal,no,manipulate,yes,yes,no,9.695705,-9.562787,purple
Job Simulator,April 2016,Steam; Oculus; PSVR,https://youtu.be/1KsLr6pQzdo?t=63,3. Select a slot to insert a cartrige ,no,accuracy,1-2,1-2,yes,slot,small,peripersonal,static,random,env,both,none,yes,touch,yes,yes,yes,-11.705241,41.646904,red
Job Simulator,April 2016,Steam; Oculus; PSVR,https://youtu.be/1KsLr6pQzdo?t=148,4. Select part of the heaf to touch with donuts to consume them,no,accuracy,1-2,1-2,yes,head,medium,on-body,static,random,head,center,none,yes,touch,no,no,no,-18.002007,44.387653,red
Job Simulator,April 2016,Steam; Oculus; PSVR,https://youtu.be/1KsLr6pQzdo?t=233,5. Sleect a button to press on a phone,no,accuracy,3-9,3-9,yes,button,medium,peripersonal,static,grid,env,center,none,yes,touch,no,yes,yes,0.48042437,48.70156,yellow
Job Simulator,April 2016,Steam; Oculus; PSVR,https://youtu.be/1KsLr6pQzdo?t=283,6. Select a target or area to throw an object at/towards (i.e. paper plane),no,speed,1-2,1-2,yes,area,large,extrapersonal,both,random,env,both,heavy,yes,throw,no,no,yes,-14.238615,30.347485,red
Job Simulator,April 2016,Steam; Oculus; PSVR,https://youtu.be/1KsLr6pQzdo?t=617,7. Select part of the head to apply clothes/wearables to (i.e. glasses),no,accuracy,1-2,1-2,yes,head,medium,on-body,static,random,head,center,none,yes,touch,yes,yes,no,-16.786146,44.81766,red
Job Simulator,April 2016,Steam; Oculus; PSVR,https://youtu.be/1KsLr6pQzdo?t=1197,8. Select a box on the screen by manipulating a virtual computer mouse,yes,accuracy,20+,20+,no,cell,tiny,extrapersonal,static,grid,env,center,none,yes,manipulate,yes,yes,no,19.189394,-0.13064697,purple
Breachers,April 2023,Oculus; Steam,https://youtu.be/kg6O7is6zCU?t=196,1. Grasping weapons from holsters placed on the body,no,speed,1-2,1-2,no,weapons,medium,on-body,static,random,body,center,none,yes,grasp,no,yes,no,-30.288801,-11.510633,grey
Breachers,April 2023,Oculus; Steam,https://youtu.be/kg6O7is6zCU?t=244,2. Aiming at a surface/target to select where to land a grappling hook,no,accuracy,1-2,1-2,yes,grappling hook,medium,extrapersonal,static,random,env,center,none,yes,point,yes,yes,no,-16.161072,5.8956823,pink
Breachers,April 2023,Oculus; Steam,https://youtu.be/kg6O7is6zCU?t=472,3. Pressing a button on hand (i.e. a button to detonate and breach a wall),no,accuracy,1-2,1-2,yes,button,small,on-body,static,random,hand,center,none,yes,push,no,yes,no,-20.184683,9.378277,pink
Breachers,April 2023,Oculus; Steam,https://youtu.be/kg6O7is6zCU?t=506,4. Throws an object (i.e. grenade) towards a target or area,no,accuracy,1-2,1-2,no,area,large,extrapersonal,static,random,env,center,minimal,yes,throw,no,yes,yes,-15.265306,33.124096,red
Breachers,April 2023,Oculus; Steam,https://youtu.be/kg6O7is6zCU?t=175,5. Select from a closeby inventory UI ,yes,accuracy,20+,20+,yes,text; icons,small,peripersonal,static,grid,env,center,none,no,touch,yes,yes,no,-2.6601155,50.8535,yellow
Breachers,April 2023,Oculus; Steam,https://youtu.be/kg6O7is6zCU?t=573,6. Select from a menu UI at a distance,yes,accuracy,10-19,20+,yes,text; icons,small,extrapersonal,static,grid,env,center,none,no,point,yes,yes,no,17.422815,2.198303,purple
Among Us VR,November 2022,Oculus; Steam,https://youtu.be/m9Z6GjQatek?t=587,1. Select icons/text in menu/minimap UI,yes,accuracy,3-9,10-19,yes,text/icons,small,peripersonal,static,list,env,center,none,no,point,yes,yes,no,15.152944,-9.567436,green
Among Us VR,November 2022,Oculus; Steam,https://youtu.be/m9Z6GjQatek?t=384,2. Select 3D buttons to press,no,equal,3-9,3-9,no,box with icon,small,peripersonal,static,grid,env,center,none,no,push,yes,yes,no,19.561749,-13.252966,green
Among Us VR,November 2022,Oculus; Steam,https://youtu.be/m9Z6GjQatek?t=600,3. Select 2d buttons to touch,yes,accuracy,3-9,3-9,no,pentagone shape in 2D ,small,peripersonal,static,grid,env,center,none,no,touch,yes,yes,no,0.9211336,51.311096,yellow
